"filename", "language", "pip requirements", "Markdown", "Batch", "PowerShell", "Python", "YAML", "JSON", "TypeScript", "JSON with Comments", "vue", "XML", "HTML", "PostCSS", "CSV", "comment", "blank", "total"
"e:\-bishe\Blockchain-MPC\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 4588, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4589
"e:\-bishe\Blockchain-MPC\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"e:\-bishe\Blockchain-MPC\frontend\public\chainpilot.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"e:\-bishe\Blockchain-MPC\frontend\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"e:\-bishe\Blockchain-MPC\frontend\src\api\client.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 14, 132
"e:\-bishe\Blockchain-MPC\frontend\src\assets\base.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 2, 14, 87
"e:\-bishe\Blockchain-MPC\frontend\src\assets\chainpilot-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"e:\-bishe\Blockchain-MPC\frontend\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"e:\-bishe\Blockchain-MPC\frontend\src\assets\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1017, 0, 0, 23, 1040
"e:\-bishe\Blockchain-MPC\frontend\src\components\HelloWorld.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 6, 42
"e:\-bishe\Blockchain-MPC\frontend\src\components\TheWelcome.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 14, 96
"e:\-bishe\Blockchain-MPC\frontend\src\components\WelcomeItem.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 12, 88
"e:\-bishe\Blockchain-MPC\frontend\src\components\icons\IconCommunity.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"e:\-bishe\Blockchain-MPC\frontend\src\components\icons\IconDocumentation.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"e:\-bishe\Blockchain-MPC\frontend\src\components\icons\IconEcosystem.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"e:\-bishe\Blockchain-MPC\frontend\src\components\icons\IconSupport.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"e:\-bishe\Blockchain-MPC\frontend\src\components\icons\IconTooling.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 1, 20
"e:\-bishe\Blockchain-MPC\frontend\src\layouts\MainLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"e:\-bishe\Blockchain-MPC\frontend\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"e:\-bishe\Blockchain-MPC\frontend\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"e:\-bishe\Blockchain-MPC\frontend\src\stores\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 9, 51
"e:\-bishe\Blockchain-MPC\frontend\src\stores\counter.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\-bishe\Blockchain-MPC\frontend\src\stores\news.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 8, 63
"e:\-bishe\Blockchain-MPC\frontend\src\stores\tokenDashboard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 7, 45
"e:\-bishe\Blockchain-MPC\frontend\src\stores\walletInsight.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 11, 78
"e:\-bishe\Blockchain-MPC\frontend\src\types\api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 38, 330
"e:\-bishe\Blockchain-MPC\frontend\src\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"e:\-bishe\Blockchain-MPC\frontend\src\views\AboutView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"e:\-bishe\Blockchain-MPC\frontend\src\views\HomeView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 573, 0, 0, 0, 0, 0, 41, 614
"e:\-bishe\Blockchain-MPC\frontend\src\views\assistant\AiAssistantView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 388, 0, 0, 0, 0, 0, 44, 432
"e:\-bishe\Blockchain-MPC\frontend\src\views\auth\LoginView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 8, 83
"e:\-bishe\Blockchain-MPC\frontend\src\views\governance\GovernanceOverviewView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 6, 67
"e:\-bishe\Blockchain-MPC\frontend\src\views\governance\ProposalDetailView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 0, 37, 328
"e:\-bishe\Blockchain-MPC\frontend\src\views\governance\ProposalListView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 0, 21, 223
"e:\-bishe\Blockchain-MPC\frontend\src\views\news\NewsView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 19, 180
"e:\-bishe\Blockchain-MPC\frontend\src\views\tokens\TokenDetailView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 21, 252
"e:\-bishe\Blockchain-MPC\frontend\src\views\tokens\TokenOverviewView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 12, 87
"e:\-bishe\Blockchain-MPC\frontend\src\views\wallet\WalletInsightView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 353, 0, 0, 0, 0, 0, 34, 387
"e:\-bishe\Blockchain-MPC\frontend\tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 3, 19
"e:\-bishe\Blockchain-MPC\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"e:\-bishe\Blockchain-MPC\frontend\tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 7, 4, 28
"e:\-bishe\Blockchain-MPC\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"e:\-bishe\Blockchain-MPC\requirements.txt", "pip requirements", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80
"e:\-bishe\Blockchain-MPC\scripts\check_kafka_topic_empty.py", "Python", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26, 149
"e:\-bishe\Blockchain-MPC\scripts\init_milvus_collection.py", "Python", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 135
"e:\-bishe\Blockchain-MPC\scripts\rebuild_kafka_topic.py", "Python", 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 194
"e:\-bishe\Blockchain-MPC\start.bat", "Batch", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 62
"e:\-bishe\Blockchain-MPC\start.ps1", "PowerShell", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 84
